Freq. Response;8 kHz;;9 kHz;;10 kHz;;11 kHz;;12 kHz;;13 kHz;;14 kHz;;15 kHz;;16 kHz;;;;;;;;;;
0 deg;2,56;2,18;3,46;3,1;4,28;3,38;4,92;3,7;5,36;3,66;5,36;3,16;4,52;4,32;4,5;3,72;4,48;2,8;[V];;;;;;;;
45 deg;2,3;2,08;3,04;2,82;3,64;3,04;3,9;3,22;3,78;3,08;3,2;2,84;2,5;2,1;1,99;1,55;1,95;0,92;[V];;;;;;;;
90 deg;2,84;2,62;3,68;3,6;4,68;4,24;5,44;4,68;5,42;4,8;4,9;4,02;4,12;3,54;3,44;2,58;2,9;2,25;[V];;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beam pattern;90 deg;;75 deg;;60 deg;;45 deg;;30 deg;;15 deg;;0 deg;;-15 deg;;-30 deg;;-45 deg;;-60 deg;;-75 deg;;-90 deg;;
8 kHz;2,84;2,64;2,9;2,58;2,74;2,38;2,43;2,2;2,3;2,17;2,63;2,36;2,82;2,44;2,52;2,4;2,58;2,44;2,66;2,42;2,68;2,42;2,76;2,4;2,7;2,34;[V]
12 kHz;5,46;4,82;4,74;4,04;4,42;3,64;4,16;3,3;4,44;3,8;5,92;4,92;6,36;5,18;5,26;4,5;4,46;3,54;4,78;3,98;5,18;4,46;5,18;4,68;4,8;4,42;[V]
16 kHz;3,06;2,4;2,99;2,2;2,98;2,02;2,1;1,04;2,05;1,84;4,58;3,16;2,82;2,42;1,34;2,44;1,65;1,63;2,84;1,68;3,18;2,38;3,3;2,36;3,26;2,38;[V]
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trans<->hydrophone;0,953 m;;;;;;;;;;;;;;;;;;;;;;;;;;
Trans<-> vegg mot måleoppsett;0,957 m;;;;;;;;;;;;;;;;;;;;;;;;;;
Djup ;0,8 m;;;;;;;;;;;;;;;;;;;;;;;;;;
